Track Name,Track Artists
Gotta Get Out of Here,Lucy Hawkins
Action,Orange Krush
Kool Is Back,"Funk, Inc."
Love's Theme,Fausto Papetti
Granny's Funky Rolls Royce,"Walter ""Junie"" Morrison"
Funky Drummer,James Brown
The Champ,The Mohawks
Walk This Way,Aerosmith
Johnny the Fox Meets Jimmy the Weed,Thin Lizzy
Ashley's Roachclip,The Soul Searchers
Gangster Boogie,Chicago Gangsters
Groove To Get Down,T-Connection
The Mexican,Babe Ruth
Keep Your Distance,Babe Ruth
(Runaway) I Wouldn't Change a Thing,Coke Escovedo
Frisco Disco,Eastside Connection
Phenomena Theme,In Search of Orchestra
Hand Clapping Song,The Meters
Sister Sanctified,Stanley Turrentine
Willie Chase,J.J. Johnson
Uphill Peace Of Mind,Kid Dynamite
Jam on the Groove,Ralph MacDonald
Knock Him Out Sugar Ray,E.U.
Blow Your Head,Fred Wesley
Change (Makes You Want to Hustle),Donald Byrd
Brother Green (The Disco King),Roy Ayers Ubiquity
Mister Magic,"Grover Washington, Jr."
Main Theme From Star Wars,David Matthews
Jack & Diane,John Cougar
Bouncy Lady,Pleasure
Rock Music,Jefferson Starship
The Assembly Line,Commodores
I Walk on Gilded Splinters,Johnny Jenkins
Gimmie What You Got,Le Pamplemousse
"""T"" Plays It Cool",Marvin Gaye
Think (About It),Lyn Collins
Space Dust,The Galactic Force Band
Take the Money and Run,Steve Miller Band
Listen to Me,Baby Huey
Yes We Can Can,The Pointer Sisters
One Man Band (Plays All Alone),Monk Higgins
N.T.,Kool & The Gang
"Let a Woman Be a Woman, Let a Man Be a Man",Dyke and The Blazers
Whiskey and Wine,The Motors
Let's Have Some Fun,Bar-Kays
Conga,The Lafayette Afro Rock Band
Yellow Sunshine,Yellow Sunshine
It's Just Begun,The Jimmy Castor Bunch
It's My Thing,Marva Whitney
I Believe In Music,Kay-Gees
"Ride, Sally, Ride",Dennis Coffey
Rock Creek Park,The Blackbyrds
I Get Lifted,KC and The Sunshine Band
Cookies,Brother Soul
Misdemeanor,Foster Sylvers
Bring It Here,Wild Sugar
Chicken Yellow,Miami
Put the Music Where Your Mouth Is,Olympic Runners
Sport,Lightnin' Rod
Lonesome Cowboy,Roy Ayers Ubiquity
Chinese Chicken,Duke Williams & The Extremes
I'm Gonna Get You,Sir Joe Quarterman & Free Soul
Reach Out of the Darkness,Friend & Lover
House of Rising Funk,The Chubukos
The Hook And Sling,Eddie Bo
Kissing My Love,Bill Withers
Free Your Mind,The Politicians
Papa Was Too,Joe Tex
Devil With The Bust,Sound Experience
Soul Pride,James Brown
Cramp Your Style,All the People Featuring Robert Moore
Shaft in Africa,Johnny Pate
I'm Gonna Love You Just a Little More Baby,Barry White
Dizzy,Tommy Roe
Woman,Barrabás
Corazon,Creative Source
Save the World,The Southside Movement
The Grunt,JB's
Do the Funky Penguin (Part 2),Rufus Thomas
Dynamite (The Bomb),Shotgun
Films,Gary Numan
The Breakdown,Rufus Thomas
Country Cooking,Various Artists
Joyous,Pleasure
Get Out of My Life Woman,Solomon Burke
You Don't Know,Alphonse Mouzon
Oh Honey,Delegation
The Easiest Way to Fall,Freda Payne
Tramp,Lowell Fulsom
Got What I Need,Freddy Scott
"You Can't Love Me, If You Don't Respect Me",Lyn Collins
Blind Alley,The Emotions
Expansions,Lonnie Liston Smith & The Cosmic Echoes
Hard to Handle,Otis Redding
You and Love Are the Same,The Grass Roots
Sneakin' in the Back,Tom Scott
I've Been Watching You,The Southside Movement
Pot Belly,Lou Donaldson
Mambo No. 5,Samba Soul
Don't Change Your Love,5 Stairsteps & Cubie
Take Off Your Make Up,Lamont Dozier
Love and Affection,Ike White
The Payback,James Brown
